,Singapore,Kenya,"Congo, Dem. Rep.",Slovenia,Saudi Arabia,Japan,Portugal,Estonia,Nepal,Djibouti,Cyprus,Upper-middle-income Countries,Canada,Peru,United Kingdom,"Gambia, The",Gabon,Qatar,OECD members,Azerbaijan,
Goal 1 Score,98.3,33.7,2.7,99.8,91.7,99.2,99.6,99.9,36.8,49.4,99.9,74.3,99.6,82.3,99.6,55.7,84.4,91.7,96.7,100,6.137565309
Goal 2 Score,76.5,56.4,42.8,65.7,55.8,75.5,63,66.1,50.1,39.1,60.5,68.4,67.6,62.8,72.5,52.1,52.5,69.6,70.3,51.7,6.430182294
Goal 3 Score,89.7,41.8,36.7,85.8,77.1,93.4,85.9,88.2,46.8,52.1,91.1,66,93.4,71.5,84.8,43.7,48.2,76.4,86.3,55.9,6.873768835
Goal 4 Score,97.8,53.9,56.1,94,65.7,98.1,96.1,96,56.9,16.3,97.7,84.9,99.2,88,97.3,42.2,64.7,88.1,93.6,51.6,7.059964575
Goal 5 Score,62.7,59.7,40.2,63.6,26.4,58.1,73.9,75.3,52,24.9,70.6,66.3,80.4,66.2,72.2,32.4,47.2,50.3,66.5,46.5,6.425577931
Goal 6 Score,77,45.8,43.1,87.4,55.2,85.6,79,83.4,60.7,57,69.5,66.4,87.3,76.5,93.8,59.3,60.8,54.1,83.8,53.5,7.075343916
Goal 7 Score,70.2,55.1,52.2,75.4,64.4,70.6,77.5,75.9,51.7,22.5,72.4,63.3,78,71.2,68.9,40.5,80.8,61.4,71.4,60,6.225349022
Goal 8 Score,70,65.2,53.9,83.8,64.2,84.3,75.3,84.3,66.1,49.1,74.3,68,81.8,62,78.2,66.4,55.6,70.2,76.4,59.9,7.367894142
Goal 9 Score,76.1,10.8,10.6,44.2,21.3,93.5,40.7,76.5,10.5,21.4,72.7,34.5,86.4,21.7,73.7,10.9,28.7,21.1,72.4,12.1,6.596893003
Goal 10 Score,63.9,41.5,43,100,76,80.5,67.8,89.7,64.7,44.4,83.4,26.5,85.9,28.7,71.8,69.1,55.9,76,63.5,74.6,4.424418989
Goal 11 Score,94,52.9,40.7,80.6,51.5,83.8,89.4,92,35.2,60.4,77.9,69.8,90.6,69.5,87.7,64.5,53.2,30.9,84.5,69.7,6.152053792
Goal 12 Score,58.6,96.1,97.9,64.2,74.6,67.9,72.9,65.2,98.4,94.5,69.5,89.8,61.2,91.7,66.4,97.2,90.7,76.3,71.6,91.2,-8.583290316
Goal 13 Score,50.4,98.3,99.4,56.9,47.4,61.1,76.7,46,98.9,88.3,64.8,89.3,28.2,93.6,51.4,98.6,85.9,0,55.1,80.8,-5.966433208
Goal 14 Score,44.1,73.5,78.8,54.1,67.9,56.3,40.1,78.6,60.8,56.8,48.4,58.2,63,71.1,72.4,67.5,66.6,76.9,58.6,58.9,-3.028175833
Goal 15 Score,39.2,60.1,70.4,83,51.4,65,66.1,96.1,68,38.6,75.6,53.3,60.6,55.4,85.6,85,82.6,72.7,65,60.7,2.505015131
Goal 16 Score,89.2,57.7,39.7,83.9,69,87.3,81.1,87.4,56.1,58,81.7,61.6,85.6,57.5,84.2,51.7,46.8,80.8,76,71.8,6.455698343
Goal 17 Score,35.7,50.9,41.7,60.9,59.1,65.8,63.4,50.3,45.7,46.2,45.6,49.3,72,55.2,44.3,44.1,39.1,34.8,65.8,67.5,3.195772273
