,Singapore,Kenya,"Congo, Dem. Rep.",Slovenia,Saudi Arabia,Japan,Portugal,Estonia,Nepal,Djibouti,Cyprus,Upper-middle-income Countries,Canada,Peru,United Kingdom,"Gambia, The",Gabon,Qatar,OECD members,Azerbaijan,
Goal 1 Score,1.7,66.3,97.3,0.2,8.3,0.8,0.4,0.1,63.2,50.6,0.1,25.7,0.4,17.7,0.4,44.3,15.6,8.3,3.3,0,5.404142327
Goal 2 Score,23.5,43.6,57.2,34.3,44.2,24.5,37,33.9,49.9,60.9,39.5,31.6,32.4,37.2,27.5,47.9,47.5,30.4,29.7,48.3,5.679905559
G3',-95.3728158,-0.276852,0.36139913,-62.2779019,-26.4612905,-109.6101859,-57.7686056,-95.7230087,0.68350108,-26.6637909,-92.3460587,-49.1084102,-104.0310344,-27.2675788,-93.2457853,-0.5930621,-40.0217796,-26.0544041,-92.074553,-4.2467728,5.867064739
Goal 4 Score,2.2,46.1,43.9,6,34.3,1.9,3.9,4,43.1,83.7,2.3,15.1,0.8,12,2.7,57.8,35.3,11.9,6.4,48.4,6.28085318
Goal 5 Score,37.3,40.3,59.8,36.4,73.6,41.9,26.1,24.7,48,75.1,29.4,33.7,19.6,33.8,27.8,67.6,52.8,49.7,33.5,53.5,5.6758517
G6',-43.9833425,10.82920347,11.23729763,-26.0106005,-5.3427887,-51.4459367,-23.4852043,-44.1686968,11.44352717,-5.4639411,-42.3773813,-18.5772195,-48.5391481,-5.8248533,-42.8555041,10.62729164,-13.3403825,-5.0991905,-42.2329772,8.30704134,5.856795932
Goal 7 Score,29.8,44.9,47.8,24.6,35.6,29.4,22.5,24.1,48.3,77.5,27.6,36.7,22,28.8,31.1,59.5,19.2,38.6,28.6,40,5.639859476
Goal 8 Score,30,34.8,46.1,16.2,35.8,15.7,24.7,15.7,33.9,50.9,25.7,32,18.2,38,21.8,33.6,44.4,29.8,23.6,40.1,6.585423516
Goal 10 Score,36.1,58.5,57,0,24,19.5,32.2,10.3,35.3,55.6,16.6,73.5,14.1,71.3,28.2,30.9,44.1,24,36.5,25.4,4.100363558
Goal 11 Score,6,47.1,59.3,19.4,48.5,16.2,10.6,8,64.8,39.6,22.1,30.2,9.4,30.5,12.3,35.5,46.8,69.1,15.5,30.3,5.333647764
G12',57.33269696,37.31790693,37.08666401,52.51244793,45.1676085,59.02885676,51.73438202,57.37673963,36.96907539,45.21818002,56.9467748,50.13709141,58.38645038,45.36821354,57.06248811,37.43161436,48.29586985,45.06560751,56.91168885,38.70581824,-7.73068
Goal 13 Score,49.6,1.7,0.6,43.1,52.6,38.9,23.3,54,1.1,11.7,35.2,10.7,71.8,6.4,48.6,1.4,14.1,100,44.9,19.2,-5.620888679
Goal 14 Score,55.9,26.5,21.2,45.9,32.1,43.7,59.9,21.4,39.2,43.2,51.6,41.8,37,28.9,27.6,32.5,33.4,23.1,41.4,41.1,-2.667279287
Goal 15 Score,60.8,39.9,29.6,17,48.6,35,33.9,3.9,32,61.4,24.4,46.7,39.4,44.6,14.4,15,17.4,27.3,35,39.3,2.359327983
Goal 16 Score,10.8,42.3,60.3,16.1,31,12.7,18.9,12.6,43.9,42,18.3,38.4,14.4,42.5,15.8,48.3,53.2,19.2,24,28.2,5.756255054
Goal 17 Score,64.3,49.1,58.3,39.1,40.9,34.2,36.6,49.7,54.3,53.8,54.4,50.7,28,44.8,55.7,55.9,60.9,65.2,34.2,32.5,2.692203794
