,Goal 1 Score,Goal 2 Score,G3',Goal 4 Score,Goal 5 Score,G6',Goal 7 Score,Goal 8 Score,Goal 10 Score,Goal 11 Score,G12',Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Singapore,98.3,76.5,195.3728158,97.8,62.7,143.9833425,70.2,70,63.9,94,42.66730304,50.4,44.1,39.2,89.2,35.7
Kenya,33.7,56.4,100.276852,53.9,59.7,89.17079653,55.1,65.2,41.5,52.9,62.68209307,98.3,73.5,60.1,57.7,50.9
"Congo, Dem. Rep.",2.7,42.8,99.63860087,56.1,40.2,88.76270237,52.2,53.9,43,40.7,62.91333599,99.4,78.8,70.4,39.7,41.7
Slovenia,99.8,65.7,162.2779019,94,63.6,126.0106005,75.4,83.8,100,80.6,47.48755207,56.9,54.1,83,83.9,60.9
Saudi Arabia,91.7,55.8,126.4612905,65.7,26.4,105.3427887,64.4,64.2,76,51.5,54.8323915,47.4,67.9,51.4,69,59.1
Japan,99.2,75.5,209.6101859,98.1,58.1,151.4459367,70.6,84.3,80.5,83.8,40.97114324,61.1,56.3,65,87.3,65.8
Portugal,99.6,63,157.7686056,96.1,73.9,123.4852043,77.5,75.3,67.8,89.4,48.26561798,76.7,40.1,66.1,81.1,63.4
Estonia,99.9,66.1,195.7230087,96,75.3,144.1686968,75.9,84.3,89.7,92,42.62326037,46,78.6,96.1,87.4,50.3
Nepal,36.8,50.1,99.31649892,56.9,52,88.55647283,51.7,66.1,64.7,35.2,63.03092461,98.9,60.8,68,56.1,45.7
Djibouti,49.4,39.1,126.6637909,16.3,24.9,105.4639411,22.5,49.1,44.4,60.4,54.78181998,88.3,56.8,38.6,58,46.2
Cyprus,99.9,60.5,192.3460587,97.7,70.6,142.3773813,72.4,74.3,83.4,77.9,43.0532252,64.8,48.4,75.6,81.7,45.6
Upper-middle-income Countries,74.3,68.4,149.1084102,84.9,66.3,118.5772195,63.3,68,26.5,69.8,49.86290859,89.3,58.2,53.3,61.6,49.3
Canada,99.6,67.6,204.0310344,99.2,80.4,148.5391481,78,81.8,85.9,90.6,41.61354962,28.2,63,60.6,85.6,72
Peru,82.3,62.8,127.2675788,88,66.2,105.8248533,71.2,62,28.7,69.5,54.63178646,93.6,71.1,55.4,57.5,55.2
United Kingdom,99.6,72.5,193.2457853,97.3,72.2,142.8555041,68.9,78.2,71.8,87.7,42.93751189,51.4,72.4,85.6,84.2,44.3
"Gambia, The",55.7,52.1,100.5930621,42.2,32.4,89.37270836,40.5,66.4,69.1,64.5,62.56838564,98.6,67.5,85,51.7,44.1
Gabon,84.4,52.5,140.0217796,64.7,47.2,113.3403825,80.8,55.6,55.9,53.2,51.70413015,85.9,66.6,82.6,46.8,39.1
Qatar,91.7,69.6,126.0544041,88.1,50.3,105.0991905,61.4,70.2,76,30.9,54.93439249,0,76.9,72.7,80.8,34.8
OECD members,96.7,70.3,192.074553,93.6,66.5,142.2329772,71.4,76.4,63.5,84.5,43.08831115,55.1,58.6,65,76,65.8
Azerbaijan,100,51.7,104.2467728,51.6,46.5,91.69295866,60,59.9,74.6,69.7,61.29418176,80.8,58.9,60.7,71.8,67.5
