,Singapore,Kenya,"Congo, Dem. Rep.",Slovenia,Saudi Arabia,Japan,Portugal,Estonia,Nepal,Djibouti,Cyprus,Upper-middle-income Countries,Canada,Peru,United Kingdom,"Gambia, The",Gabon,Qatar,OECD members,Azerbaijan,
0,-38.10634815,52.6532662,96.20664151,-40.21376954,-28.83369405,-39.37080098,-39.93278002,-40.3542643,48.29792867,30.59558903,-40.3542643,-4.387605979,-39.93278002,-15.6271867,-39.93278002,21.74441921,-18.57757664,-28.83369405,-35.85843201,-40.49475906,6.137565306
1,-6.409061827,21.54939755,40.4665641,8.61339396,22.38397843,-5.018093699,12.36900791,8.057006709,30.31249676,45.61314618,15.84642823,4.857780013,5.970554516,12.64720153,-0.845189314,27.53056051,26.97417326,3.188618259,2.214940569,28.08694776,6.430182294
2,-42.56586485,33.56462485,41.67037637,-36.36734899,-22.53989052,-48.4465081,-36.52628529,-40.18182029,25.61780964,17.19418552,-44.79097311,-4.897960759,-48.4465081,-13.63945749,-34.77798595,30.54483507,23.39270138,-21.42733639,-37.16203051,11.15460596,6.873768834
3,-83.01923264,-0.866427804,-4.983424857,-75.90805591,-22.94850291,-83.58064133,-79.83791673,-79.6507805,-6.480514695,69.49679456,-82.83209641,-58.87865901,-85.63913985,-64.67988213,-82.08355149,21.02851107,-21.07714061,-64.86701836,-75.15951099,3.437705479,7.059964575
4,-15.01103891,-9.508118391,26.260865,-16.66191507,51.5742994,-6.573227446,-35.55527553,-38.12330511,4.616044283,54.32575967,-29.50206295,-21.61454354,-47.47826999,-21.43111286,-32.4369539,40.56845836,13.42071712,7.734365912,-21.98140491,14.70473191,6.42557793
5,-18.76405041,29.35852586,33.52297957,-34.80490917,14.86005737,-32.02860669,-21.84883094,-28.63534811,6.376910908,12.08375489,-7.196123425,-2.414713603,-34.65067014,-17.99285528,-44.67620687,8.536257279,6.222671881,16.55668666,-29.25230422,17.48212082,7.075343915
6,-2.652378178,19.42811912,23.66874443,-10.25625804,5.82887244,-3.237292014,-13.32705568,-10.98740034,24.39988673,67.09859674,-5.869404275,7.437385489,-14.05819798,-4.114662768,-0.751408212,40.77747413,-18.15259483,10.21572621,-4.407119686,12.26292463,6.225349021
7,1.980944003,8.7022507,24.52532688,-17.34281275,10.10252293,-18.04294886,-5.440498808,-18.04294886,7.442005694,31.24663358,-4.04022658,4.78148846,-14.54226829,13.18312183,-9.501288271,7.021924026,22.14486409,1.700889557,-6.980798259,16.12369351,7.367894142
8,-17.37589917,83.34218514,83.65066319,31.82635028,67.14708735,-44.21348979,37.22471621,-17.99285528,83.80490222,66.99284833,-12.13177227,46.78753585,-33.26251891,66.53013125,-13.67416254,83.18794611,55.73339939,67.45556541,-11.66905519,81.33707779,6.596893003
9,-26.55192455,17.81056543,14.83986298,-98.04683029,-50.51559102,-59.42769838,-34.27575093,-77.64800677,-28.13629919,12.06720735,-65.17105646,47.51758997,-70.12222722,43.16055971,-42.19762414,-36.85035973,-10.70817813,-50.51559102,-25.75973723,-47.74293539,4.424418988
10,-25.62418387,29.30298588,45.60740124,-7.716055535,31.17398437,-11.9926235,-19.47661743,-22.9513289,52.95775242,19.27977972,-4.107701317,6.717361336,-21.08033042,7.118289582,-17.2046907,13.80042702,28.90205764,58.70439062,-12.92812274,6.851004085,6.15205379
11,38.80484438,-0.35587808,-2.235592758,32.95684316,22.09626946,29.09298521,23.87155555,31.91255722,-2.757735724,1.314979412,27.42212772,6.223123293,36.08970095,4.238980022,30.65941411,-1.504592605,5.283265954,20.32098338,25.22912726,4.761122988,-8.583290316
12,18.27789663,-59.39053099,-61.17414832,7.738339643,23.14230754,0.928164362,-24.3667724,25.41236597,-60.36341317,-43.17582794,-5.071275767,-44.79729824,54.2745374,-51.76962055,16.65642632,-59.87697208,-39.2842992,100,10.65698619,-31.01480065,-5.966433206
13,33.54933568,-10.75110721,-18.73724147,18.48115783,-2.312927609,15.1661587,39.57660682,-18.43587791,8.385478665,14.41274981,27.0700192,12.30320491,5.070479538,-7.134744522,-9.093607642,-1.710200495,-0.354064489,-15.87428768,11.70047779,11.24843246,-3.028175835
14,36.64988343,2.873928428,-13.77163791,-34.13417538,16.93377573,-5.044836143,-6.822517985,-55.30475005,-9.893059349,37.61952808,-22.17522481,13.86323436,2.065891227,10.46947812,-38.33596883,-37.36632419,-33.48774562,-17.48860904,-5.044836143,1.904283787,2.505015131
15,-51.54476193,1.971605793,32.55238735,-42.54042069,-17.22632929,-48.31679054,-37.78341023,-48.48668377,4.689897486,1.4619261,-38.80276961,-4.654230211,-45.42860562,2.311392254,-43.05010039,12.16519964,20.48996796,-37.27373054,-29.11885546,-21.98333976,6.455698343
16,36.02553482,8.787107074,25.27352387,-9.132911182,-5.907307896,-17.91372013,-13.61291575,9.86230817,18.10551657,17.20951565,18.28471675,11.65431,-29.02413145,1.081499224,20.61431912,20.97271949,29.93272862,37.63833647,-17.91372013,-20.96012323,3.195772272
