,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Bangladesh,36.1,49.1,37.2,44.9,30.4,60.4,45.4,68.6,8.1,79.9,35.3,97.6,98.6,63.1,53.7,58.5,39.9
Madagascar,0.0,45.4,30.2,19.3,56.9,39.8,27.2,55.9,8.8,33.4,43.0,97.5,99.2,67.8,43.5,43.6,36.4
Sudan,48.4,20.5,36.3,30.0,17.5,23.3,48.5,36.0,3.6,73.3,40.1,94.7,99.3,52.1,49.7,49.9,36.4
Syrian Arab Republic,91.7,41.0,66.9,62.7,33.9,64.3,64.8,58.1,6.6,71.8,76.4,93.2,90.1,44.2,53.0,61.4,49.1
Argentina,97.1,68.7,78.4,94.5,71.6,76.8,69.5,55.2,14.8,28.4,72.6,84.0,88.1,61.0,56.2,58.5,54.0
Georgia,61.0,54.8,59.2,77.1,47.7,82.0,84.0,64.4,11.8,66.7,75.5,92.3,94.6,68.4,62.3,73.7,50.8
Rest of World (non-OECD),49.1,57.9,49.5,63.6,48.1,54.5,58.3,62.9,20.9,33.3,56.9,93.2,93.2,58.8,55.3,58.2,48.0
Kuwait,91.7,72.3,79.0,84.2,49.7,57.0,67.3,58.7,36.8,76.0,65.4,63.6,19.2,49.3,51.4,79.1,64.5
Pakistan,45.2,43.4,36.6,48.4,15.0,40.9,61.6,51.2,4.8,81.2,50.5,96.1,98.0,63.8,70.5,52.9,53.7
Israel,98.9,64.3,88.0,97.8,64.0,68.9,69.5,73.8,72.4,63.9,85.7,71.8,50.6,32.6,45.8,73.2,60.5
Nepal,36.8,46.4,39.8,48.7,35.1,55.1,38.7,66.2,9.4,64.7,45.0,98.4,99.0,60.8,64.6,58.1,40.1
Turkmenistan,91.8,55.5,62.5,81.3,57.9,54.0,56.6,55.3,5.9,80.9,82.5,88.4,69.4,58.9,64.0,72.4,42.9
Malaysia,98.0,43.0,74.8,83.2,44.7,78.2,66.8,67.9,23.6,40.0,81.4,83.4,79.1,64.9,40.4,64.0,62.2
Armenia,85.2,53.5,67.6,68.5,45.1,69.9,70.9,62.6,9.7,72.9,79.7,94.1,93.2,58.9,59.8,74.7,55.4
Djibouti,46.7,27.4,34.3,0.0,4.6,53.2,36.9,48.9,6.7,46.6,65.6,94.8,91.2,60.4,40.8,58.8,55.2
Romania,97.0,64.8,73.1,91.1,51.0,77.1,70.7,75.0,9.8,58.9,77.6,85.6,86.7,61.4,56.1,75.6,62.8
Malawi,1.3,49.9,16.5,48.5,38.4,46.6,29.9,55.7,9.1,37.2,58.2,98.8,99.2,66.1,63.4,53.4,48.6
Mauritius,96.7,66.8,67.9,82.2,36.1,69.3,79.4,69.4,9.5,66.9,85.0,77.1,94.0,57.3,27.1,70.5,40.8
Canada,99.6,66.5,88.5,96.7,71.8,87.5,78.9,78.5,73.8,82.5,89.3,63.2,23.9,61.9,58.0,88.8,69.4
United States,99.0,70.2,83.4,96.1,69.3,84.3,69.4,77.1,72.4,53.1,86.1,68.8,33.7,58.9,55.5,74.8,61.4
