,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Singapore,138.1063482,106.4090618,142.5658649,183.0192326,115.0110389,118.7640504,102.6523782,98.019056,117.3758992,126.5519246,125.6241839,61.19515562,81.72210337,66.45066432,63.35011657,151.5447619,63.97446518
Kenya,47.3467338,78.45060245,66.43537515,100.8664278,109.5081184,70.64147414,80.57188088,91.2977493,16.65781486,82.18943457,70.69701412,100.3558781,159.390531,110.7511072,97.12607157,98.02839421,91.21289293
"Congo, Dem. Rep.",3.793358495,59.5334359,58.32962363,104.9834249,73.739135,66.47702043,76.33125557,75.47467312,16.34933681,85.16013702,54.39259876,102.2355928,161.1741483,118.7372415,113.7716379,67.44761265,74.72647613
Slovenia,140.2137695,91.38660604,136.367349,175.9080559,116.6619151,134.8049092,110.256258,117.3428128,68.17364972,198.0468303,107.7160555,67.04315684,92.26166036,81.51884217,134.1341754,142.5404207,109.1329112
Saudi Arabia,128.8336941,77.61602157,122.5398905,122.9485029,48.4257006,85.13994263,94.17112756,89.89747707,32.85291265,150.515591,68.82601563,77.90373054,76.85769246,102.3129276,83.06622427,117.2263293,105.9073079
Japan,139.370801,105.0180937,148.4465081,183.5806413,106.5732274,132.0286067,103.237292,118.0429489,144.2134898,159.4276984,111.9926235,70.90701479,99.07183564,84.8338413,105.0448361,148.3167905,117.9137201
Portugal,139.93278,87.63099209,136.5262853,179.8379167,135.5552755,121.8488309,113.3270557,105.4404988,62.77528379,134.2757509,119.4766174,76.12844445,124.3667724,60.42339318,106.822518,137.7834102,113.6129157
Estonia,140.3542643,91.94299329,140.1818203,179.6507805,138.1233051,128.6353481,110.9874003,118.0429489,117.9928553,177.6480068,122.9513289,68.08744278,74.58763403,118.4358779,155.3047501,148.4866838,90.13769183
Nepal,51.70207133,69.68750324,74.38219036,106.4805147,95.38395572,93.62308909,75.60011327,92.55799431,16.19509778,128.1362992,47.04224758,102.7577357,160.3634132,91.61452133,109.8930593,95.31010251,81.89448343
Djibouti,69.40441097,54.38685382,82.80581448,30.50320544,45.67424033,87.91624511,32.90140326,68.75336642,33.00715167,87.93279265,80.72022028,98.68502059,143.1758279,85.58725019,62.38047192,98.5380739,82.79048435
Cyprus,140.3542643,84.15357177,144.7909731,182.8320964,129.502063,107.1961234,105.8694043,104.0402266,112.1317723,165.1710565,104.1077013,72.57787228,105.0712758,72.9299808,122.1752248,138.8027696,81.71528325
Upper-middle-income Countries,104.387606,95.14221999,104.8979608,158.878659,121.6145435,102.4147136,92.56261451,95.21851154,53.21246415,52.48241003,93.28263866,93.77687671,144.7972982,87.69679509,86.13676564,104.6542302,88.34569
Canada,139.93278,94.02944548,148.4465081,185.6391399,147.47827,134.6506701,114.058198,114.5422683,133.2625189,170.1222272,121.0803304,63.91029905,45.7254626,94.92952046,97.93410877,145.4286056,129.0241314
Peru,115.6271867,87.35279847,113.6394575,164.6798821,121.4311129,117.9928553,104.1146628,86.81687817,33.46986875,56.83944029,92.88171042,95.76101998,151.7696206,107.1347445,89.53052188,97.68860775,98.91850078
United Kingdom,139.93278,100.8451893,134.7779859,182.0835515,132.4369539,144.6762069,100.7514082,109.5012883,113.6741625,142.1976241,117.2046907,69.34058589,83.34357368,109.0936076,138.3359688,143.0501004,79.38568088
"Gambia, The",78.25558079,72.46943949,69.45516493,78.97148893,59.43154164,91.46374272,59.22252587,92.97807597,16.81205389,136.8503597,86.19957298,101.5045926,159.8769721,101.7102005,137.3663242,87.83480036,79.02728051
Gabon,118.5775766,73.02582674,76.60729862,121.0771406,86.57928288,93.77732812,118.1525948,77.85513591,44.26660061,110.7081781,71.09794236,94.71673405,139.2842992,100.3540645,133.4877456,79.51003204,70.06727138
Qatar,128.8336941,96.81138174,121.4273364,164.8670184,92.26563409,83.44331334,89.78427379,98.29911044,32.54443459,150.515591,41.29560938,79.67901662,0,115.8742877,117.488609,137.2737305,62.36166353
OECD members,135.858432,97.78505943,137.1620305,175.159511,121.9814049,129.2523042,104.4071197,106.9807983,111.6690552,125.7597372,112.9281227,74.77087274,89.34301381,88.29952221,105.0448361,129.1188555,117.9137201
Azerbaijan,140.4947591,71.91305224,88.84539404,96.56229452,85.29526809,82.51787918,87.73707537,83.87630649,18.66292221,147.7429354,93.14899592,95.23887701,131.0148006,88.75156754,98.09571621,121.9833398,120.9601232
