,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Brunei Darussalam,67.6,55.8,77.5,98.2,54.8,60.4,68.6,71.2,26.1,63.9,99.7,74.8,12.9,51.4,67.3,64.3,69.4
Suriname,79.6,55.0,62.4,63.7,60.4,64.9,85.5,64.0,0.9,30.3,83.6,86.3,89.4,70.1,78.4,64.9,58.9
East and South Asia,47.1,58.9,51.8,70.8,49.7,54.4,56.2,64.9,24.1,35.4,56.0,94.0,95.3,57.9,51.8,60.7,44.5
Zambia,7.2,55.1,20.3,33.9,44.9,46.7,54.6,48.8,1.9,29.4,61.4,96.4,98.0,66.1,69.5,49.6,47.5
World,58.6,60.4,56.1,69.4,50.9,60.1,60.5,65.4,29.9,34.6,63.1,88.9,85.7,58.5,56.5,62.8,51.1
Denmark,99.6,72.7,89.9,97.9,84.6,92.4,73.3,87.2,72.4,100.0,90.6,55.5,48.8,67.7,92.4,92.5,86.5
Mexico,82.5,62.0,75.4,86.0,55.6,73.1,65.4,64.5,14.6,18.2,78.2,86.8,80.1,62.9,48.5,61.3,56.2
North Macedonia,75.7,59.6,71.3,87.1,23.7,71.8,59.8,56.4,15.2,65.0,78.7,86.4,85.7,58.9,80.6,73.2,69.3
Netherlands,99.8,69.9,91.1,95.7,77.3,87.0,66.5,85.9,74.1,90.8,86.9,55.9,48.5,55.3,75.2,81.4,64.7
Oceania,27.9,44.1,41.1,59.0,40.4,11.0,32.9,66.5,1.7,47.4,83.1,86.3,98.3,63.6,54.0,66.5,46.4
High-income Countries,99.3,71.3,85.6,93.8,64.2,78.4,70.4,77.9,69.0,72.5,86.8,68.3,47.9,56.3,63.2,78.9,64.8
Guinea,19.9,48.5,20.1,2.0,28.8,44.4,27.3,59.4,3.8,64.6,46.3,97.6,98.7,66.8,67.0,49.9,47.1
El Salvador,76.4,55.1,67.8,75.8,54.5,66.8,78.0,59.9,7.0,40.0,79.9,90.6,94.3,39.6,44.9,57.2,57.5
Syrian Arab Republic,91.7,41.0,66.9,62.7,33.9,64.3,64.8,58.1,6.6,71.8,76.4,93.2,90.1,44.2,53.0,61.4,49.1
Madagascar,0.0,45.4,30.2,19.3,56.9,39.8,27.2,55.9,8.8,33.4,43.0,97.5,99.2,67.8,43.5,43.6,36.4
Paraguay,85.0,68.3,68.4,78.8,54.4,65.4,84.3,61.0,6.7,8.0,72.6,87.1,92.8,61.4,46.3,46.4,46.7
Gabon,75.6,52.1,31.6,64.7,45.5,57.0,66.7,55.0,6.3,55.9,51.3,91.2,78.5,75.2,82.6,48.3,49.9
Mali,17.2,49.8,24.5,5.6,23.0,45.7,22.8,64.0,4.1,70.7,36.1,96.1,98.9,66.1,57.3,62.5,41.3
Burkina Faso,14.3,55.6,27.5,0.0,28.9,46.1,18.7,65.0,3.7,59.6,40.6,96.4,98.9,66.1,82.8,57.6,37.5
Bulgaria,96.0,64.7,70.5,74.0,72.8,67.3,64.0,67.1,17.1,72.2,76.0,82.9,84.1,60.2,66.5,65.7,68.3
