,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.232,0.259,0.234,0.095,0.229,0.563,-0.485,-0.441,0.579,0.001,-0.152,0.016,-0.005,-0.081,0.495,0.268
Goal 2 Score,0.232,1.0,-0.014,0.45,0.439,-0.515,0.193,0.742,-0.277,0.188,-0.064,0.252,0.472,0.285,0.464,-0.091,0.193
Goal 3 Score,0.259,-0.014,1.0,-0.063,-0.174,-0.013,0.031,0.27,0.189,-0.003,0.386,-0.298,-0.107,-0.132,-0.28,-0.173,-0.318
Goal 4 Score,0.234,0.45,-0.063,1.0,-0.737,0.586,-0.646,-0.155,0.581,-0.537,0.534,-0.266,-0.71,-0.233,-0.64,-0.554,-0.656
Goal 5 Score,0.095,0.439,-0.174,-0.737,1.0,0.596,-0.733,-0.075,0.648,-0.605,0.71,-0.415,-0.847,-0.04,-0.787,-0.627,-0.746
Goal 6 Score,0.229,-0.515,-0.013,0.586,0.596,1.0,0.373,0.629,-0.087,0.111,-0.25,0.329,0.415,0.151,0.523,0.199,0.346
Goal 7 Score,0.563,0.193,0.031,-0.646,-0.733,0.373,1.0,0.119,0.648,-0.779,0.462,-0.167,-0.561,-0.003,-0.451,-0.747,-0.639
Goal 8 Score,-0.485,0.742,0.27,-0.155,-0.075,0.629,0.119,1.0,-0.124,0.207,-0.271,-0.103,-0.074,-0.171,-0.136,0.38,0.15
Goal 9 Score,-0.441,-0.277,0.189,0.581,0.648,-0.087,0.648,-0.124,1.0,0.702,-0.394,0.07,0.688,-0.104,0.542,0.517,0.718
Goal 10 Score,0.579,0.188,-0.003,-0.537,-0.605,0.111,-0.779,0.207,0.702,1.0,0.256,-0.047,-0.622,0.106,-0.355,-0.493,-0.56
Goal 11 Score,0.001,-0.064,0.386,0.534,0.71,-0.25,0.462,-0.271,-0.394,0.256,1.0,0.347,0.555,0.12,0.588,0.69,0.622
Goal 12 Score,-0.152,0.252,-0.298,-0.266,-0.415,0.329,-0.167,-0.103,0.07,-0.047,0.347,1.0,-0.2,-0.026,-0.57,-0.238,-0.263
Goal 13 Score,0.016,0.472,-0.107,-0.71,-0.847,0.415,-0.561,-0.074,0.688,-0.622,0.555,-0.2,1.0,0.044,-0.749,-0.427,-0.694
Goal 14 Score,-0.005,0.285,-0.132,-0.233,-0.04,0.151,-0.003,-0.171,-0.104,0.106,0.12,-0.026,0.044,1.0,0.052,-0.044,0.072
Goal 15 Score,-0.081,0.464,-0.28,-0.64,-0.787,0.523,-0.451,-0.136,0.542,-0.355,0.588,-0.57,-0.749,0.052,1.0,-0.407,-0.625
Goal 16 Score,0.495,-0.091,-0.173,-0.554,-0.627,0.199,-0.747,0.38,0.517,-0.493,0.69,-0.238,-0.427,-0.044,-0.407,1.0,-0.503
Goal 17 Score,0.268,0.193,-0.318,-0.656,-0.746,0.346,-0.639,0.15,0.718,-0.56,0.622,-0.263,-0.694,0.072,-0.625,-0.503,1.0
