,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.5458686197907322,0.9119041240276358,0.8217953508787946,0.4061914016651487,0.7894138199415617,0.7944412079331793,0.30610551675872155,0.5298290822951154,0.6540783744431274,0.8976921420946232,-0.5687079644676961,-0.48078250868725414,-0.20080629413324422,0.1469460472613126,0.5732888693900751,0.4295567216200665
Goal 2 Score,0.5458686197907322,1.0,0.7168253350944851,0.7536246061506381,0.46855962723556227,0.6166234283325357,0.5968923514154351,0.6776285011830628,0.7706687633413566,0.30140909355026246,0.6395303199069756,-0.518895451782239,-0.39680578921759924,-0.20883860217676603,0.1705406249237778,0.5552668896179513,0.06717124579804341
Goal 3 Score,0.9119041240276358,0.7168253350944851,1.0,0.8452310837923436,0.4513018349064945,0.8658050761930035,0.8022398940293092,0.4238148284981287,0.7501989779606498,0.6006667415389759,0.9243360673518638,-0.7160021332652384,-0.5524402763479747,-0.33012069504319835,0.18969986232330177,0.698982343764165,0.36340840164951743
Goal 4 Score,0.8217953508787946,0.7536246061506381,0.8452310837923436,1.0,0.6826585169175419,0.8383996576515762,0.8105970156708298,0.5353877192896135,0.6320826244805228,0.5751603466833266,0.8268162271176009,-0.6128536741324306,-0.42878890882071274,-0.3259385948824853,0.24372380508843575,0.5781355376799047,0.4185821996756646
Goal 5 Score,0.4061914016651487,0.46855962723556227,0.4513018349064945,0.6826585169175419,1.0,0.7639679643664486,0.46990569680246985,0.45219498319902063,0.5630776369549776,0.37607296597709655,0.5421888364247417,-0.4578945945342908,-0.1900565193615158,-0.17488006047036103,0.21692319352330333,0.3360981173483987,0.32832774255850505
Goal 6 Score,0.7894138199415617,0.6166234283325357,0.8658050761930035,0.8383996576515762,0.7639679643664486,1.0,0.6723169048618388,0.48354652931609493,0.7583448589552143,0.5972468238092363,0.8474262429424713,-0.715543544617086,-0.41444695769275114,-0.38232284654152726,0.16766125949721822,0.5998629488546913,0.37063793325402516
Goal 7 Score,0.7944412079331793,0.5968923514154351,0.8022398940293092,0.8105970156708298,0.46990569680246985,0.6723169048618388,1.0,0.2803986374348482,0.44023149445713416,0.37345895052602907,0.8011413468858278,-0.4157849037479841,-0.21700936670537613,-0.39651442763409495,0.21861202612443312,0.43042584106257936,0.3749597533497572
Goal 8 Score,0.30610551675872155,0.6776285011830628,0.4238148284981287,0.5353877192896135,0.45219498319902063,0.48354652931609493,0.2803986374348482,1.0,0.6719392247200919,0.37955181181607844,0.4239461710802486,-0.5082789170240392,-0.48789087346651194,-0.08969458890770153,0.18502243640235982,0.5228749631005173,0.19126314562797012
Goal 9 Score,0.5298290822951154,0.7706687633413566,0.7501989779606498,0.6320826244805228,0.5630776369549776,0.7583448589552143,0.44023149445713416,0.6719392247200919,1.0,0.4985237987827132,0.7094106456866879,-0.7439400511754302,-0.5558241798442819,-0.33651868631034654,0.16226805167972838,0.6962406304210028,0.22572153425610292
Goal 10 Score,0.6540783744431274,0.30140909355026246,0.6006667415389759,0.5751603466833266,0.37607296597709655,0.5972468238092363,0.37345895052602907,0.37955181181607844,0.4985237987827132,1.0,0.6106971704249853,-0.4433213927400711,-0.5739214564796364,-0.13918999439877908,0.21274134605833878,0.613505408482228,0.49164316710813
Goal 11 Score,0.8976921420946232,0.6395303199069756,0.9243360673518638,0.8268162271176009,0.5421888364247417,0.8474262429424713,0.8011413468858278,0.4239461710802486,0.7094106456866879,0.6106971704249853,1.0,-0.7650961936304739,-0.5796694425358028,-0.2893543111177494,0.035804391005635115,0.719574070769209,0.2846747027811326
Goal 12 Score,-0.5687079644676961,-0.518895451782239,-0.7160021332652384,-0.6128536741324306,-0.4578945945342908,-0.715543544617086,-0.4157849037479841,-0.5082789170240392,-0.7439400511754302,-0.4433213927400711,-0.7650961936304739,1.0,0.6808616702974808,0.29113710802115006,0.031529680030691676,-0.8276687744058501,-0.14231715194163183
Goal 13 Score,-0.48078250868725414,-0.39680578921759924,-0.5524402763479747,-0.42878890882071274,-0.1900565193615158,-0.41444695769275114,-0.21700936670537613,-0.48789087346651194,-0.5558241798442819,-0.5739214564796364,-0.5796694425358028,0.6808616702974808,1.0,-0.10351670725524323,-0.09142143523829947,-0.6269496341964456,-0.10528966133725916
