,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.094,0.679,-0.243,0.8,-0.204,-0.103,-0.733,-0.583,0.616,-0.341,-0.566,0.24,0.561,-0.798,0.258,0.414
Goal 2 Score,0.094,1.0,-0.356,-0.091,-0.248,0.471,0.047,0.246,-0.065,0.232,-0.146,-0.199,-0.297,0.222,-0.072,0.333,-0.205
Goal 3 Score,0.679,-0.356,1.0,-0.07,-0.855,0.756,0.338,0.634,-0.036,-0.11,0.582,0.008,-0.734,-0.414,0.525,0.161,-0.662
Goal 4 Score,-0.243,-0.091,-0.07,1.0,0.106,0.535,-0.377,-0.495,-0.653,0.684,0.343,-0.63,-0.331,0.492,-0.22,0.323,-0.329
Goal 5 Score,0.8,-0.248,-0.855,0.106,1.0,0.528,0.295,0.704,0.283,-0.408,0.579,0.209,-0.515,-0.478,0.539,-0.21,-0.415
Goal 6 Score,-0.204,0.471,0.756,0.535,0.528,1.0,0.04,-0.099,0.539,-0.461,-0.471,0.441,0.791,-0.152,-0.131,-0.444,0.728
Goal 7 Score,-0.103,0.047,0.338,-0.377,0.295,0.04,1.0,-0.553,-0.208,0.384,-0.134,-0.175,0.209,0.601,-0.037,0.113,-0.197
Goal 8 Score,-0.733,0.246,0.634,-0.495,0.704,-0.099,-0.553,1.0,-0.55,0.669,-0.175,-0.549,0.272,0.776,-0.603,0.205,0.142
Goal 9 Score,-0.583,-0.065,-0.036,-0.653,0.283,0.539,-0.208,-0.55,1.0,0.875,0.162,-0.869,-0.372,0.52,-0.385,0.581,-0.362
Goal 10 Score,0.616,0.232,-0.11,0.684,-0.408,-0.461,0.384,0.669,0.875,1.0,-0.026,0.823,0.196,-0.736,0.478,-0.533,0.297
Goal 11 Score,-0.341,-0.146,0.582,0.343,0.579,-0.471,-0.134,-0.175,0.162,-0.026,1.0,0.207,0.526,0.275,-0.15,0.322,0.278
Goal 12 Score,-0.566,-0.199,0.008,-0.63,0.209,0.441,-0.175,-0.549,-0.869,0.823,0.207,1.0,-0.186,0.596,-0.501,0.361,-0.152
Goal 13 Score,0.24,-0.297,-0.734,-0.331,-0.515,0.791,0.209,0.272,-0.372,0.196,0.526,-0.186,1.0,-0.19,0.135,0.23,-0.539
Goal 14 Score,0.561,0.222,-0.414,0.492,-0.478,-0.152,0.601,0.776,0.52,-0.736,0.275,0.596,-0.19,1.0,0.513,-0.35,0.032
Goal 15 Score,-0.798,-0.072,0.525,-0.22,0.539,-0.131,-0.037,-0.603,-0.385,0.478,-0.15,-0.501,0.135,0.513,1.0,-0.039,0.569
Goal 16 Score,0.258,0.333,0.161,0.323,-0.21,-0.444,0.113,0.205,0.581,-0.533,0.322,0.361,0.23,-0.35,-0.039,1.0,0.532
Goal 17 Score,0.414,-0.205,-0.662,-0.329,-0.415,0.728,-0.197,0.142,-0.362,0.297,0.278,-0.152,-0.539,0.032,0.569,0.532,1.0
