,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.5830424880055173,0.9217019711559037,0.7194834624487165,0.5005417217976605,0.8013823697913125,0.8111533650892921,0.5789765104985676,0.589248194318551,0.643271203180746,0.6629768663815516,-0.7439255234450712,-0.6867871884820852,-0.09659087347968477,0.21465669450307384,0.7350021043446427,0.5023002914814463
Goal 2 Score,0.5830424880055173,1.0,0.6045021760227481,0.5073270055115296,0.5586702649948103,0.6583260756253974,0.47671164096277524,0.575166383308374,0.7214764178986556,0.5259642784263127,0.4175831684939266,-0.6064900600949383,-0.7053247234222845,0.06973225486443978,0.2682457342573391,0.5863213754651495,0.2504520963628423
Goal 3 Score,0.9217019711559037,0.6045021760227481,1.0,0.8002567623722433,0.505228796810884,0.7601574580437801,0.8229981111884668,0.6345713851169958,0.6885262374390518,0.651621776557376,0.7058378893218646,-0.7616833429653468,-0.7201236509240673,-0.13783160408314984,0.038487256069859685,0.8919513293421791,0.5648427357266009
Goal 4 Score,0.7194834624487165,0.5073270055115296,0.8002567623722433,1.0,0.6996351527567091,0.6372576274901202,0.7905732514276957,0.6007578347589917,0.6621434469547369,0.4033114903692685,0.6823231884837779,-0.7273472575505214,-0.6073271728782458,-0.06596671589576295,0.08801515088139579,0.7247491582174713,0.2692299131630461
Goal 5 Score,0.5005417217976605,0.5586702649948103,0.505228796810884,0.6996351527567091,1.0,0.5646210687365638,0.5741424263193698,0.6480217936526407,0.6997659315858473,0.21077612922125183,0.4639245597629025,-0.7224235693712332,-0.41775495009540803,-0.08212702596288318,-0.02726073766383704,0.4442572244754031,-0.011584380259205218
Goal 6 Score,0.8013823697913125,0.6583260756253974,0.7601574580437801,0.6372576274901202,0.5646210687365638,1.0,0.79669479140718,0.6319143479697826,0.6306078648592579,0.6747643065753207,0.4719511277885482,-0.5513117372335025,-0.530160733007456,-0.031512577833288556,0.38749543596838204,0.6134939142347229,0.2440337014161861
Goal 7 Score,0.8111533650892921,0.47671164096277524,0.8229981111884668,0.7905732514276957,0.5741424263193698,0.79669479140718,1.0,0.4899337422411887,0.5628247102542744,0.561530807860003,0.6738220383906357,-0.6315388149393364,-0.5503424034280353,0.06988277984544154,0.11592218122334365,0.7263523807211177,0.4602379217537015
Goal 8 Score,0.5789765104985676,0.575166383308374,0.6345713851169958,0.6007578347589917,0.6480217936526407,0.6319143479697826,0.4899337422411887,1.0,0.7207012919964378,0.5811981096476934,0.5184150047578281,-0.6939812943044451,-0.6907840894584925,0.11987813115182618,0.19413885750235782,0.6880624450008159,-0.11234038120477319
Goal 9 Score,0.589248194318551,0.7214764178986556,0.6885262374390518,0.6621434469547369,0.6997659315858473,0.6306078648592579,0.5628247102542744,0.7207012919964378,1.0,0.3910861928542927,0.4722074738564289,-0.8071048550062054,-0.7726574640259409,-0.19447753805273324,0.035010230103461625,0.7072573810559772,0.27526433864104516
Goal 10 Score,0.643271203180746,0.5259642784263127,0.651621776557376,0.4033114903692685,0.21077612922125183,0.6747643065753207,0.561530807860003,0.5811981096476934,0.3910861928542927,1.0,0.4515965428801878,-0.33965110707121415,-0.5282226425710882,0.18719812643810632,0.4020122915680964,0.6696802004560846,0.2036264759008474
