,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.117,0.838,0.58,-0.565,0.605,-0.738,-0.523,-0.788,0.418,-0.094,-0.682,0.014,-0.519,0.663,-0.838,0.81
Goal 2 Score,-0.117,1.0,-0.023,0.764,-0.461,0.357,-0.384,-0.462,0.227,-0.209,-0.568,-0.384,0.507,0.33,-0.05,-0.104,0.126
Goal 3 Score,0.838,-0.023,1.0,-0.364,0.392,-0.285,0.669,0.386,0.848,-0.292,0.163,0.63,0.052,0.521,-0.765,0.74,-0.683
Goal 4 Score,0.58,0.764,-0.364,1.0,0.813,-0.672,0.743,0.619,0.308,0.071,0.616,0.753,-0.46,0.017,-0.364,0.571,-0.611
Goal 5 Score,-0.565,-0.461,0.392,0.813,1.0,0.75,-0.713,-0.411,-0.459,-0.272,-0.49,-0.716,0.469,-0.149,0.524,-0.501,0.684
Goal 6 Score,0.605,0.357,-0.285,-0.672,0.75,1.0,0.741,0.566,0.42,-0.114,0.167,0.501,-0.326,0.435,-0.516,0.493,-0.535
Goal 7 Score,-0.738,-0.384,0.669,0.743,-0.713,0.741,1.0,-0.597,-0.62,0.235,-0.222,-0.656,0.292,-0.504,0.73,-0.698,0.663
Goal 8 Score,-0.523,-0.462,0.386,0.619,-0.411,0.566,-0.597,1.0,-0.17,0.252,-0.168,-0.37,0.198,-0.211,0.455,-0.387,0.261
Goal 9 Score,-0.788,0.227,0.848,0.308,-0.459,0.42,-0.62,-0.17,1.0,0.234,-0.141,-0.668,-0.1,-0.613,0.74,-0.757,0.783
Goal 10 Score,0.418,-0.209,-0.292,0.071,-0.272,-0.114,0.235,0.252,0.234,1.0,-0.628,-0.174,0.408,0.476,-0.174,0.328,-0.11
Goal 11 Score,-0.094,-0.568,0.163,0.616,-0.49,0.167,-0.222,-0.168,-0.141,-0.628,1.0,-0.688,0.473,0.29,0.111,-0.238,0.329
Goal 12 Score,-0.682,-0.384,0.63,0.753,-0.716,0.501,-0.656,-0.37,-0.668,-0.174,-0.688,1.0,0.449,-0.163,0.524,-0.802,0.818
Goal 13 Score,0.014,0.507,0.052,-0.46,0.469,-0.326,0.292,0.198,-0.1,0.408,0.473,0.449,1.0,-0.191,-0.106,0.078,-0.195
Goal 14 Score,-0.519,0.33,0.521,0.017,-0.149,0.435,-0.504,-0.211,-0.613,0.476,0.29,-0.163,-0.191,1.0,0.753,-0.479,0.329
Goal 15 Score,0.663,-0.05,-0.765,-0.364,0.524,-0.516,0.73,0.455,0.74,-0.174,0.111,0.524,-0.106,0.753,1.0,0.611,-0.527
Goal 16 Score,-0.838,-0.104,0.74,0.571,-0.501,0.493,-0.698,-0.387,-0.757,0.328,-0.238,-0.802,0.078,-0.479,0.611,1.0,0.806
Goal 17 Score,0.81,0.126,-0.683,-0.611,0.684,-0.535,0.663,0.261,0.783,-0.11,0.329,0.818,-0.195,0.329,-0.527,0.806,1.0
