,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.5672741563449789,0.9066339275673949,0.9002111146794775,0.8178504552576047,0.8854834988063456,0.8251741958220618,0.5281891482801384,0.7152325047919393,0.39797519493915834,0.9315340844169039,-0.784162069247942,-0.7291521926658634,-0.5713146954674271,-0.2981062160579176,0.6012791275008643,0.3955963871683761
Goal 2 Score,0.5672741563449789,1.0,0.720509127669361,0.6412834005031536,0.5435924906390326,0.7168704277413637,0.48346619736724844,0.6486901776691449,0.7413683728030724,0.1269826184562341,0.6827243614709604,-0.7023358548142441,-0.6185032305013868,-0.5020966264846102,-0.3060064370247917,0.7182959882379277,0.21086787790291597
Goal 3 Score,0.9066339275673949,0.720509127669361,1.0,0.8931325494583299,0.8107345089311987,0.871405323611254,0.7302852142315964,0.6088286395603695,0.8479318149811751,0.431593238433081,0.9249113379324391,-0.8763327251584343,-0.8187694024004201,-0.6476208969547396,-0.3097436091929385,0.8042619205007279,0.36773979456668227
Goal 4 Score,0.9002111146794775,0.6412834005031536,0.8931325494583299,1.0,0.8489530450627422,0.813806988846863,0.7562616196498249,0.5389121465772508,0.6885580183502438,0.1956681291362795,0.8336739452091104,-0.725697296295635,-0.6876143752133022,-0.5200738163764472,-0.41334014690360543,0.5666035564602415,0.36660713909673687
Goal 5 Score,0.8178504552576047,0.5435924906390326,0.8107345089311987,0.8489530450627422,1.0,0.7805001664390204,0.6464753373310256,0.5394665636600918,0.6694583625383054,0.14538035405456456,0.7519607385049478,-0.6495047260129775,-0.7107260586161066,-0.3579422576174737,-0.23204044863230122,0.4877526395669635,0.41830983857661586
Goal 6 Score,0.8854834988063456,0.7168704277413637,0.871405323611254,0.813806988846863,0.7805001664390204,1.0,0.7605236625715771,0.5353915611395444,0.7171888826278322,0.3156618766124021,0.9245248909462207,-0.7946855606973257,-0.7671433774763173,-0.410643229986183,-0.19700340338969471,0.6748433911817205,0.48373759963155344
Goal 7 Score,0.8251741958220618,0.48346619736724844,0.7302852142315964,0.7562616196498249,0.6464753373310256,0.7605236625715771,1.0,0.3284362626123221,0.5403771963568282,0.3045037554135603,0.7376696292686823,-0.6172778421275956,-0.5609068896418983,-0.48187083351495824,-0.4401098321949848,0.6022719295815521,0.3478768694160217
Goal 8 Score,0.5281891482801384,0.6486901776691449,0.6088286395603695,0.5389121465772508,0.5394665636600918,0.5353915611395444,0.3284362626123221,1.0,0.7273327503625522,0.19644425092222562,0.560729987406591,-0.5704460188948931,-0.6596822987713044,-0.5477021810119392,-0.18080076097182957,0.5139006891850426,0.37296415878689393
Goal 9 Score,0.7152325047919393,0.7413683728030724,0.8479318149811751,0.6885580183502438,0.6694583625383054,0.7171888826278322,0.5403771963568282,0.7273327503625522,1.0,0.4666456397638622,0.7246207338871309,-0.8645227340573322,-0.9015030111796563,-0.6292976098985554,-0.1501457307978296,0.7595058097999607,0.3273857744507241
Goal 10 Score,0.39797519493915834,0.1269826184562341,0.431593238433081,0.1956681291362795,0.14538035405456456,0.3156618766124021,0.3045037554135603,0.19644425092222562,0.4666456397638622,1.0,0.43289258982782297,-0.5261542463486237,-0.44968038378662345,-0.30653096400348434,0.14489933461421128,0.5945718245622434,0.15936471394980303
Goal 11 Score,0.9315340844169039,0.6827243614709604,0.9249113379324391,0.8336739452091104,0.7519607385049478,0.9245248909462207,0.7376696292686823,0.560729987406591,0.7246207338871309,0.43289258982782297,1.0,-0.8479559733182876,-0.7731104893211149,-0.5770699230643931,-0.335726618526135,0.7319979060483126,0.3803119514448977
Goal 12 Score,-0.784162069247942,-0.7023358548142441,-0.8763327251584343,-0.725697296295635,-0.6495047260129775,-0.7946855606973257,-0.6172778421275956,-0.5704460188948931,-0.8645227340573322,-0.5261542463486237,-0.8479559733182876,1.0,0.9042354530934521,0.5995914193862313,0.27635476011354326,-0.8165591280038814,-0.14838876002091905
Goal 13 Score,-0.7291521926658634,-0.6185032305013868,-0.8187694024004201,-0.6876143752133022,-0.7107260586161066,-0.7671433774763173,-0.5609068896418983,-0.6596822987713044,-0.9015030111796563,-0.44968038378662345,-0.7731104893211149,0.9042354530934521,1.0,0.5208772448079034,0.16753693352017562,-0.683878846262057,-0.3884054109084171
Goal 14 Score,-0.5713146954674271,-0.5020966264846102,-0.6476208969547396,-0.5200738163764472,-0.3579422576174737,-0.410643229986183,-0.48187083351495824,-0.5477021810119392,-0.6292976098985554,-0.30653096400348434,-0.5770699230643931,0.5995914193862313,0.5208772448079034,1.0,0.3928072692557249,-0.556366069213784,-0.009522438784185624
Goal 15 Score,-0.2981062160579176,-0.3060064370247917,-0.3097436091929385,-0.41334014690360543,-0.23204044863230122,-0.19700340338969471,-0.4401098321949848,-0.18080076097182957,-0.1501457307978296,0.14489933461421128,-0.335726618526135,0.27635476011354326,0.16753693352017562,0.3928072692557249,1.0,-0.2899046029611839,0.17911509409396675
Goal 16 Score,0.6012791275008643,0.7182959882379277,0.8042619205007279,0.5666035564602415,0.4877526395669635,0.6748433911817205,0.6022719295815521,0.5139006891850426,0.7595058097999607,0.5945718245622434,0.7319979060483126,-0.8165591280038814,-0.683878846262057,-0.556366069213784,-0.2899046029611839,1.0,0.0920770444917347
Goal 17 Score,0.3955963871683761,0.21086787790291597,0.36773979456668227,0.36660713909673687,0.41830983857661586,0.48373759963155344,0.3478768694160217,0.37296415878689393,0.3273857744507241,0.15936471394980303,0.3803119514448977,-0.14838876002091905,-0.3884054109084171,-0.009522438784185624,0.17911509409396675,0.0920770444917347,1.0
