,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,-0.013,0.365,-0.215,0.121,-0.196,-0.17,-0.39,-0.65,-0.545,0.672,-0.194,-0.471,0.229,-0.036,0.376,0.482
Goal 2 Score,-0.013,1.0,0.405,-0.24,0.611,-0.539,-0.576,-0.305,-0.372,-0.437,0.139,-0.503,0.26,0.343,0.266,0.277,-0.027
Goal 3 Score,0.365,0.405,1.0,0.812,-0.791,0.693,0.613,0.084,0.582,0.206,-0.106,0.662,-0.54,-0.102,-0.471,0.073,0.379
Goal 4 Score,-0.215,-0.24,0.812,1.0,0.83,-0.719,-0.568,-0.079,-0.448,-0.038,0.247,-0.73,0.436,-0.141,0.155,-0.288,-0.433
Goal 5 Score,0.121,0.611,-0.791,0.83,1.0,0.867,0.791,0.268,0.496,0.189,-0.257,0.881,-0.515,-0.022,-0.154,0.16,0.36
Goal 6 Score,-0.196,-0.539,0.693,-0.719,0.867,1.0,-0.603,-0.096,-0.35,-0.083,0.488,-0.81,0.319,-0.064,0.053,-0.318,-0.327
Goal 7 Score,-0.17,-0.576,0.613,-0.568,0.791,-0.603,1.0,-0.406,-0.483,-0.348,0.302,-0.725,0.328,0.098,0.081,0.052,-0.103
Goal 8 Score,-0.39,-0.305,0.084,-0.079,0.268,-0.096,-0.406,1.0,-0.338,-0.653,0.323,-0.416,-0.152,0.213,-0.05,0.512,0.33
Goal 9 Score,-0.65,-0.372,0.582,-0.448,0.496,-0.35,-0.483,-0.338,1.0,-0.636,0.376,-0.453,0.01,0.551,0.144,0.518,0.327
Goal 10 Score,-0.545,-0.437,0.206,-0.038,0.189,-0.083,-0.348,-0.653,-0.636,1.0,0.325,-0.226,-0.234,0.558,0.13,0.813,0.603
Goal 11 Score,0.672,0.139,-0.106,0.247,-0.257,0.488,0.302,0.323,0.376,0.325,1.0,0.328,0.595,-0.01,0.443,-0.035,-0.369
Goal 12 Score,-0.194,-0.503,0.662,-0.73,0.881,-0.81,-0.725,-0.416,-0.453,-0.226,0.328,1.0,0.475,-0.054,0.04,-0.148,-0.286
Goal 13 Score,-0.471,0.26,-0.54,0.436,-0.515,0.319,0.328,-0.152,0.01,-0.234,0.595,0.475,1.0,0.029,-0.457,0.25,0.705
Goal 14 Score,0.229,0.343,-0.102,-0.141,-0.022,-0.064,0.098,0.213,0.551,0.558,-0.01,-0.054,0.029,1.0,-0.098,-0.704,-0.414
Goal 15 Score,-0.036,0.266,-0.471,0.155,-0.154,0.053,0.081,-0.05,0.144,0.13,0.443,0.04,-0.457,-0.098,1.0,-0.151,0.291
Goal 16 Score,0.376,0.277,0.073,-0.288,0.16,-0.318,0.052,0.512,0.518,0.813,-0.035,-0.148,0.25,-0.704,-0.151,1.0,-0.65
Goal 17 Score,0.482,-0.027,0.379,-0.433,0.36,-0.327,-0.103,0.33,0.327,0.603,-0.369,-0.286,0.705,-0.414,0.291,-0.65,1.0
