,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.6554281130783415,0.9764603784386363,0.8209441029488412,0.5903238353523697,0.795797815801647,0.8121306043971145,0.7327288538436189,0.6274061561738256,0.2511872570329522,0.8484666654437983,-0.8374989077870147,-0.6968881910016733,-0.18248605351299876,-0.07896669407717755,0.8317772353646009,0.17075156453292564
Goal 2 Score,0.6554281130783415,1.0,0.6685385968115091,0.6737091721476368,0.6574331713048652,0.5698262898064206,0.4741699190990567,0.6065372606605783,0.6763877595799939,0.3126781598530913,0.5477037849099012,-0.7324403366067702,-0.6149324377268442,-0.19098369271471308,0.3391809229369338,0.6895154588022493,0.2239292639844266
Goal 3 Score,0.9764603784386363,0.6685385968115091,1.0,0.838770477738886,0.6190212763928363,0.8228891544191499,0.8330109348740051,0.7964520453152959,0.7105920652941757,0.3348669101393687,0.8737408810599033,-0.8507294441210556,-0.7365069173178557,-0.1612503935889272,-0.08112971764797298,0.8704244864054852,0.16599572215683359
Goal 4 Score,0.8209441029488412,0.6737091721476368,0.838770477738886,1.0,0.6547066737308211,0.6074746998131273,0.7221316145837683,0.586997516897165,0.5470187326306813,0.1646889767602262,0.6580725066746641,-0.6758466868687231,-0.5044014724629733,-0.022014555461214166,-0.1547755095419376,0.6305691383363166,0.0814272597850319
Goal 5 Score,0.5903238353523697,0.6574331713048652,0.6190212763928363,0.6547066737308211,1.0,0.6849530720715229,0.56130340325826,0.5668434295941067,0.6624500352690709,0.15860859131934782,0.5440553703955744,-0.6505847864908411,-0.40296580331290843,-0.04098754126577889,0.269720500267923,0.5035127136474281,0.4785255801284083
Goal 6 Score,0.795797815801647,0.5698262898064206,0.8228891544191499,0.6074746998131273,0.6849530720715229,1.0,0.7041091597257226,0.7020199466792504,0.8274415090013625,0.32402889857164563,0.7431571603902576,-0.8353151445497762,-0.6718804252625681,-0.2986094390463505,0.030907500592354538,0.7263993171526478,0.21962003297098784
Goal 7 Score,0.8121306043971145,0.4741699190990567,0.8330109348740051,0.7221316145837683,0.56130340325826,0.7041091597257226,1.0,0.7342548479544775,0.5155696225648795,0.21014926661447786,0.7296643185685603,-0.6030185034461185,-0.49840388847213357,0.09812769580246758,-0.06516890186692288,0.6168874072962379,0.12847928343225687
Goal 8 Score,0.7327288538436189,0.6065372606605783,0.7964520453152959,0.586997516897165,0.5668434295941067,0.7020199466792504,0.7342548479544775,1.0,0.6692455272826954,0.6460501230694672,0.6103219317783044,-0.7265487655182252,-0.6336431727415348,-0.11983923939768458,0.14855223103927087,0.7772424663138129,0.1778850428930651
Goal 9 Score,0.6274061561738256,0.6763877595799939,0.7105920652941757,0.5470187326306813,0.6624500352690709,0.8274415090013625,0.5155696225648795,0.6692455272826954,1.0,0.5519774028709249,0.6342890254064606,-0.8654972901116292,-0.7761282261515827,-0.29574394132111786,0.03501242038855471,0.7981770995087295,0.357598542040262
Goal 10 Score,0.2511872570329522,0.3126781598530913,0.3348669101393687,0.1646889767602262,0.15860859131934782,0.32402889857164563,0.21014926661447786,0.6460501230694672,0.5519774028709249,1.0,0.16265973937733424,-0.4815833142103776,-0.5770887550464588,-0.21772944929796936,0.01744363203016685,0.6042714471828307,0.14004894605591553
